優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
燦坤,"於燦坤線上購物刷中信卡單筆滿額最高折12,000元。",2023/11/01,2023/11/30,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
寶島眼鏡,"全台【寶島眼鏡】實體門市刷中信卡，單筆消費滿3,500元享100元刷卡金。",2023/07/01,2023/12/31,所有卡
新竹保時捷中心,"購車/保修刷中信卡，滿額享最高4,500元回饋",2023/09/01,2023/11/30,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
TOYOTA/LEXUS,"刷中信卡分期，滿額登錄享最高2,000元刷卡金回饋",2023/10/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
光陽電動車IONEX,"12期分期0利率，滿額登錄享最高2,000元刷卡金",2023/10/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡愛車好行,"【購車保修、車用精品】指定商店分期消費且完成登錄，享刷卡金最高2,000元回饋",2023/10/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡搭高捷 車資滿額享30%回饋,使用中信卡（含感應式、綁定手機或穿戴裝置）感應支付搭乘高雄捷運，累積消費達200元即享30%刷卡金回饋。,2023/10/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡輕鬆購 Gogoro暢快騎,12期分期0利率 滿額贈刷卡金,2023/10/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡尊享iRent雙重優惠,最高可獲得汽車120分鐘,2023/08/10,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡代扣繳  帳單整合不漏單,整合帳單不漏繳，脫單Easy GO!,2023/06/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡租車優惠,享租車優惠7折起,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
萬花筒劇團《2023彩虹音樂森林》,網路購票刷中信卡（含簽帳卡），享9折優惠,2023/09/23,2023/12/16,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
台灣大車隊股份有限公司,*中信卡紅利點數每100點折抵NT8元，折抵上限為單筆消費金額20%。,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
薩克斯瘋四怪客《Super Sax Show》,"網路購票刷中信卡（含簽帳卡），享92折優惠 (適用於NT1,200元(含)以上票區)",2023/11/01,2023/11/26,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
春河劇團《叫我林彩香！》,網路購票刷中信卡（含簽帳卡），享9折優惠,2023/10/02,2023/11/18,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
冰上迪士尼 奇幻百年 精彩永恆,網路購票刷中信卡享95折優惠(限前四高票價),2023/08/22,2023/12/03,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
台灣黃帽汽車百貨股份有限公司,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限為單筆消費金額20%。",2023/01/01,2023/12/31,所有卡
春河劇團《我妻我母我丈母娘》,網路購票刷中信卡（含簽帳卡），享9折優惠,2023/10/02,2023/12/10,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
台灣中油,"*中油聯名卡紅利點數每100點折抵NT8元，折抵上限為單筆消費金額100%
*中信卡紅利點數每300點折抵NT24元，，折抵上限為單筆消費金額100%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
美少苓分期0利率,活動期間刷中信卡可享分期0利率優惠，分期期數及條件限制請洽門市人員,2022/01/01,2024/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
表演工作坊《隱藏的寶藏》,網路購票刷中信卡（含簽帳卡），享95折優惠,2023/08/25,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
耐途耐汽車事業有限公司,"*中信卡紅利點數每1,000點折抵NT60元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
墊腳石圖書,*中信卡紅利點數每100點折抵NT8元，折抵上限為單筆消費金額100%。,2023/01/01,2023/12/31,所有卡
中興嘟嘟房停車場,*中信卡紅利點數每10點折抵NT1元，限全額折抵,2023/01/01,2023/12/31,所有卡
台灣聯通停車場,*中信卡紅利點數每10點折抵NT1元，限全額折抵,2023/01/01,2023/12/31,所有卡
